epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,1552.73,0.40725,0.8422,1,0.44416,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,1584.74,0.39358,0.84345,1,0.44442,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,1616.22,0.39456,0.8422,1,0.44496,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,1647.94,0.38695,0.84179,1,0.44658,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,1678.66,0.38501,0.84304,1,0.44989,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,1709.4,0.37671,0.842,1,0.45068,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,1740.27,0.37123,0.84116,1,0.45081,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,1771.68,0.36725,0.83992,1,0.45133,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,1803.24,0.36343,0.8422,1,0.45235,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,1834.83,0.36074,0.84304,1,0.45368,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,1866.22,0.36207,0.84304,1,0.45692,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,1899.66,0.34748,0.84428,1,0.45934,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,1934.4,0.35637,0.84449,1,0.45714,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,1967.91,0.34518,0.84615,1,0.45728,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,2004.08,0.34086,0.84574,1,0.45678,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
